Dataset,Model,Temperature,Predicted Value
All,XGBoost,3.5212121212121215,581.9360961914062
All,XGBoost,3.924242424242424,581.9360961914062
All,XGBoost,4.327272727272727,583.2532958984375
All,XGBoost,4.7303030303030305,583.2532958984375
All,XGBoost,5.133333333333334,583.3222045898438
All,XGBoost,5.536363636363636,580.9608154296875
All,XGBoost,5.9393939393939394,579.1128540039062
All,XGBoost,6.342424242424243,581.0157470703125
All,XGBoost,6.745454545454545,578.4384155273438
All,XGBoost,7.148484848484848,581.0342407226562
All,XGBoost,7.551515151515152,585.0096435546875
All,XGBoost,7.954545454545454,585.4371948242188
All,XGBoost,8.357575757575757,586.2907104492188
All,XGBoost,8.76060606060606,589.462646484375
All,XGBoost,9.163636363636362,591.3724365234375
All,XGBoost,9.566666666666666,589.84423828125
All,XGBoost,9.969696969696969,597.15234375
All,XGBoost,10.372727272727271,597.2424926757812
All,XGBoost,10.775757575757575,598.2364501953125
All,XGBoost,11.178787878787878,600.2916259765625
All,XGBoost,11.58181818181818,599.5515747070312
All,XGBoost,11.984848484848484,601.6419677734375
All,XGBoost,12.387878787878787,603.0066528320312
All,XGBoost,12.79090909090909,604.2344360351562
All,XGBoost,13.193939393939393,606.5090942382812
All,XGBoost,13.596969696969696,606.5643920898438
All,XGBoost,13.999999999999998,605.4622192382812
All,XGBoost,14.403030303030302,607.5831909179688
All,XGBoost,14.806060606060605,608.7916870117188
All,XGBoost,15.209090909090907,607.696533203125
All,XGBoost,15.612121212121211,604.67626953125
All,XGBoost,16.015151515151516,604.27685546875
All,XGBoost,16.418181818181818,602.8277587890625
All,XGBoost,16.82121212121212,603.7967529296875
All,XGBoost,17.224242424242423,604.53759765625
All,XGBoost,17.627272727272725,603.5390014648438
All,XGBoost,18.030303030303028,603.8986206054688
All,XGBoost,18.433333333333334,599.6083374023438
All,XGBoost,18.836363636363636,597.7607421875
All,XGBoost,19.23939393939394,599.2633666992188
All,XGBoost,19.64242424242424,597.9556274414062
All,XGBoost,20.045454545454543,598.1978759765625
All,XGBoost,20.448484848484846,597.6799926757812
All,XGBoost,20.85151515151515,597.5341796875
All,XGBoost,21.254545454545454,598.3909301757812
All,XGBoost,21.657575757575756,598.1646728515625
All,XGBoost,22.06060606060606,598.1658935546875
All,XGBoost,22.46363636363636,597.5654907226562
All,XGBoost,22.866666666666664,595.28955078125
All,XGBoost,23.26969696969697,593.03076171875
All,XGBoost,23.672727272727272,593.0013427734375
All,XGBoost,24.075757575757574,593.2406005859375
All,XGBoost,24.478787878787877,593.2802734375
All,XGBoost,24.88181818181818,575.3924560546875
All,XGBoost,25.28484848484848,575.6617431640625
All,XGBoost,25.687878787878788,572.022216796875
All,XGBoost,26.09090909090909,568.77734375
All,XGBoost,26.493939393939392,568.77734375
All,XGBoost,26.896969696969695,568.8071899414062
All,XGBoost,27.299999999999997,545.6685180664062
All,XGBoost,27.703030303030303,545.6685180664062
All,XGBoost,28.106060606060606,541.8076782226562
All,XGBoost,28.509090909090908,541.9134521484375
All,XGBoost,28.91212121212121,541.9134521484375
All,XGBoost,29.315151515151513,541.7310180664062
All,XGBoost,29.718181818181815,541.7310180664062
All,XGBoost,30.12121212121212,542.9794921875
All,XGBoost,30.524242424242424,542.9794921875
All,XGBoost,30.927272727272726,542.8069458007812
All,XGBoost,31.33030303030303,542.8069458007812
All,XGBoost,31.73333333333333,542.8069458007812
All,XGBoost,32.13636363636363,542.7367553710938
All,XGBoost,32.53939393939394,542.7367553710938
All,XGBoost,32.942424242424245,542.7367553710938
All,XGBoost,33.345454545454544,542.7367553710938
All,XGBoost,33.74848484848485,542.7367553710938
All,XGBoost,34.151515151515156,542.5883178710938
All,XGBoost,34.554545454545455,542.5883178710938
